@RELATION names

@ATTRIBUTE  startsWithVowel  { true, false }
@ATTRIBUTE  VowelToConsonantSwitches  real
@ATTRIBUTE  consonantToVowelRatio  real
@ATTRIBUTE  containsVon  { true, false }
@ATTRIBUTE  numberOfXs  real
@ATTRIBUTE  numberOfVs  real
@ATTRIBUTE  endsWithX  { true, false }
@ATTRIBUTE  threeConsonantsInRow  { true, false }
@ATTRIBUTE  threeVowelsInRow  { true, false }
@ATTRIBUTE  nameLength  real
@ATTRIBUTE  containsSpace  { true, false }
@ATTRIBUTE  country { Swedish,Russian,French,Japanese }

@DATA

false,0.8333333333333334,1.3333333333333333,false,0.0,0.0,false,false,false,7,false,Swedish
false,0.8,2.0,false,0.0,0.0,false,false,false,6,false,Swedish
false,0.8,2.0,false,0.0,0.0,false,false,false,6,false,Swedish
false,0.8333333333333334,0.75,false,0.0,0.0,false,false,false,7,false,Swedish
true,0.75,0.6666666666666666,false,0.0,0.0,false,false,false,5,false,Swedish
false,0.6666666666666666,3.0,false,0.0,0.0,false,false,false,4,false,Swedish
true,0.6,2.0,false,0.0,0.0,false,true,false,6,false,Swedish
true,0.75,1.5,false,0.0,0.0,false,false,false,5,false,Swedish
true,0.75,1.5,false,0.0,0.0,false,false,false,5,false,Swedish
false,0.8,2.0,false,0.0,0.0,false,false,false,6,false,Swedish
false,0.75,0.6666666666666666,false,0.0,0.0,false,true,false,5,false,Swedish
false,0.5,3.5,false,0.0,0.0,false,true,false,9,false,Swedish
false,0.6666666666666666,3.0,false,0.0,0.0,false,false,false,4,false,Swedish
false,0.75,1.5,false,0.0,0.0,false,false,false,5,false,Swedish
false,1.0,1.5,false,0.0,0.0,false,false,false,5,false,Swedish
false,0.8,1.0,false,0.0,0.0,false,false,false,6,false,Swedish
false,0.6666666666666666,3.0,false,0.0,0.0,false,false,false,4,false,Swedish
false,0.8,2.0,false,0.0,1.0,false,false,false,6,false,Swedish
false,0.8,2.0,false,0.0,1.0,false,false,false,6,false,Swedish
